0,334
1,114
2,138
3,124
4,130
5,120
6,144
7,122
8,101
9,125
10,102
11,129
12,126
13,116
14,109
15,113
16,142
17,120
18,104
19,111
20,129
21,140
22,129
23,105
24,108
25,118
26,110
27,131
28,146
29,124
30,133
31,141
32,126
33,115
34,139
35,117
36,113
37,139
38,118
39,116
40,115
41,113
42,127
43,121
44,126
45,125
46,123
47,125
48,126
49,104
50,126
51,116
52,113
53,138
54,136
55,134
56,115
57,125
58,108
59,139
60,133
61,123
62,131
63,121
64,109
65,121
66,126
67,117
68,114
69,99
70,120
71,120
72,127
73,112
74,141
75,111
76,145
77,108
78,123
79,123
