0,118
1,120
2,131
3,119
4,127
5,130
6,134
7,123
8,127
9,115
10,127
11,121
12,125
13,117
14,112
15,124
16,137
17,117
18,129
19,124
20,128
21,125
22,152
23,123
24,117
25,119
26,131
27,122
28,122
29,112
30,118
31,122
32,126
33,130
34,134
35,122
36,126
37,121
38,128
39,135
40,128
41,135
42,114
43,117
44,133
45,111
46,119
47,115
48,122
49,130
50,139
51,109
52,123
53,115
54,138
55,111
56,104
57,107
58,129
59,155
60,123
61,122
62,131
63,93
64,117
65,113
66,110
67,134
68,138
69,123
70,107
71,128
72,112
73,140
74,140
75,125
76,133
77,115
78,123
79,229
